train_test_num:1, lr:[0.001], losses:0.20477303490042686, epoch:1, train_srcc:0.1759902730575413, train_pcc:0.1233579560242866, test_srcc:0.4056665746345153, test_pcc:0.31282997626776055
train_test_num:1, lr:[0.001], losses:0.11698665916919708, epoch:2, train_srcc:0.2904957224891597, train_pcc:0.28633520440734367, test_srcc:0.4333427169835398, test_pcc:0.41737212940889906
train_test_num:1, lr:[0.001], losses:0.09934359267354012, epoch:3, train_srcc:0.36247216688151884, train_pcc:0.3582060748589827, test_srcc:0.6313913152845255, test_pcc:0.5551331811209005
train_test_num:1, lr:[0.001], losses:0.07846091985702515, epoch:4, train_srcc:0.6098880815656861, train_pcc:0.5977969543786471, test_srcc:0.5866404003676281, test_pcc:0.6034136594246772
train_test_num:1, lr:[0.001], losses:0.06963232532143593, epoch:5, train_srcc:0.6258408531583265, train_pcc:0.6262091748159382, test_srcc:0.700534762441241, test_pcc:0.6762128605520589
train_test_num:1, lr:[0.001], losses:0.06639550365507603, epoch:6, train_srcc:0.657761045353334, train_pcc:0.649291543430432, test_srcc:0.7591706572484962, test_pcc:0.7496167733216234
train_test_num:1, lr:[0.001], losses:0.071609041467309, epoch:7, train_srcc:0.6366283839212469, train_pcc:0.6294223434115637, test_srcc:0.7210807799817032, test_pcc:0.6781611643974369
train_test_num:1, lr:[0.001], losses:0.06071492768824101, epoch:8, train_srcc:0.7009228876127974, train_pcc:0.6668331653148241, test_srcc:0.6181630574160086, test_pcc:0.5220175448058813
train_test_num:1, lr:[0.001], losses:0.06865444779396057, epoch:9, train_srcc:0.6556808859721083, train_pcc:0.6181820385701635, test_srcc:0.67773712654018, test_pcc:0.6518493549715538
train_test_num:1, lr:[0.001], losses:0.06795343644917011, epoch:10, train_srcc:0.6318703855619361, train_pcc:0.637606395113426, test_srcc:0.6804578320592367, test_pcc:0.651171225407476
train_test_num:1, lr:[0.001], losses:0.0543419336900115, epoch:11, train_srcc:0.7738339388257354, train_pcc:0.7606638020525764, test_srcc:0.7617037279041697, test_pcc:0.7618033884332411
